row_name	Sample_126043	Sample_126044	Sample_126045	Sample_126046	Sample_126048	Sample_126049	Sample_126050	Sample_126051	Sample_126052	Sample_126053	Sample_126054	Sample_126055	Sample_126056	Sample_126057	Sample_126058	Sample_126059	Sample_126065	Sample_126066	Sample_126067	Sample_126068	Sample_126069	Sample_126070	Sample_127119	Sample_127120	Sample_127121
ENSRNOG00000052797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051416	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	4	3	0	2
ENSRNOG00000011071	354	290	197	157	146	121	22	481	369	313	219	251	294	575	154	68	19	735	974	490	870	771	508	584	301
ENSRNOG00000011348	621	637	373	322	296	224	76	1056	822	419	598	576	562	1114	277	247	50	1578	1095	1122	831	1023	1159	1267	968
ENSRNOG00000000204	899	806	446	327	254	222	72	1076	812	451	645	732	748	1207	371	226	62	1710	1026	1095	788	964	1115	1027	905
ENSRNOG00000056002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000043223	189	165	103	91	80	72	22	289	244	138	158	161	162	349	104	63	15	367	365	314	296	339	428	299	330
ENSRNOG00000010699	1	4	1	1	0	0	0	2	6	8	4	2	2	3	1	0	0	7	3	2	6	15	8	5	13
ENSRNOG00000061827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042726	27	13	7	5	3	7	1	25	14	6	8	9	18	10	7	5	1	37	15	24	12	16	22	25	23
ENSRNOG00000047606	17	9	6	16	5	4	3	30	11	17	11	10	23	29	6	6	1	25	27	25	11	25	34	38	22
ENSRNOG00000013229	216	224	89	89	71	59	17	298	148	95	155	199	164	286	71	63	19	431	367	194	269	317	309	301	239
ENSRNOG00000013399	23	31	17	14	14	8	5	69	32	35	38	26	58	44	13	14	7	59	133	35	67	299	61	26	53
ENSRNOG00000013889	165	174	164	113	113	113	36	421	354	279	204	209	165	436	94	76	21	341	709	460	579	681	784	606	478
ENSRNOG00000013937	157	161	99	55	45	14	13	182	116	66	123	71	118	178	60	59	14	347	302	182	202	244	388	141	256
